Fleet,Year,Source,Discards,Error,Error Stat,Source,Used in Assessment
Bottom Trawl,2019,WCGOP,0.7832,5.00%,CV,2025 data,Yes
Bottom Trawl,2020,WCGOP,0.2763,5.00%,CV,2025 data,Yes
Bottom Trawl,2021,WCGOP,0.144,5.00%,CV,2025 data,Yes
Bottom Trawl,2022,WCGOP,0.075,5.00%,CV,2025 data,Yes
Bottom Trawl,2023,WCGOP,0.1184,5.00%,CV,2025 data,Yes
Midwater,1981,Pikitch,6479.88,23.24%,CV,2019 report,No
Midwater,1982,Pikitch,5722.25,22.84%,CV,2019 report,No
Midwater,1984,Pikitch,1737.57,23.33%,CV,2019 report,No
Midwater,1985,Pikitch,1502,24.09%,CV,2019 data,Yes
Midwater,1986,Pikitch,1321.2,23.64%,CV,2019 data,Yes
Midwater,1987,Pikitch,1798.4,26.20%,CV,2019 data,Yes
Midwater,1988,Pikitch,1615.83,24.82%,CV,2019 report,No
Midwater,1989,Pikitch,1981.86,25.26%,CV,2019 report,No
Midwater,1990,Pikitch,1205.44,24.51%,CV,2019 report,No
Midwater,1991,Pikitch,565.94,24.33%,CV,2019 report,No
Midwater,1992,Pikitch,356,25.00%,CV,2019 report,No
Midwater,1993,Pikitch,569.86,25.34%,CV,2019 report,No
Midwater,1994,Pikitch,536.8,25.43%,CV,2019 report,No
Midwater,1995,Pikitch,663.24,23.81%,CV,2019 report,No
Midwater,1996,Pikitch,465.66,24.84%,CV,2019 report,No
Midwater,1997,Pikitch,663.14,24.10%,CV,2019 report,No
Midwater,1998,Pikitch,217.15,25.53%,CV,2019 report,No
Midwater,1997,EDCP,1,83.26%,CV,2019 data,Yes
Midwater,1998,EDCP,18.7,80.00%,CV,2019 data,Yes
Midwater,2002,WCGOP,39.4,40.71%,CV,2019 data,Yes
Midwater,2012,WCGOP,0,5.00%,CV,2025 data,Yes
Midwater,2013,WCGOP,0.002,5.00%,CV,2025 data,Yes
Midwater,2014,WCGOP,0.0136,5.00%,CV,2025 data,Yes
Midwater,2015,WCGOP,0.88,5.00%,CV,2025 data,Yes
Midwater,2016,WCGOP,1.56,5.00%,CV,2025 data,Yes
Midwater,2017,WCGOP,9.75,5.00%,CV,2025 data,Yes
Midwater,2018,WCGOP,37.23,5.00%,CV,2025 data,Yes
Midwater,2019,WCGOP,18.78,5.00%,CV,2025 data,Yes
Midwater,2020,WCGOP,45.44,5.00%,CV,2025 data,Yes
Midwater,2021,WCGOP,36.38,5.00%,CV,2025 data,Yes
Midwater,2022,WCGOP,47.6,5.00%,CV,2025 data,Yes
Midwater,2023,WCGOP,17.37,5.00%,CV,2025 data,Yes
Hook & Line,2007,WCGOP,0.016,0.51%,SD,2025 data,"Yes, in landings"
Hook & Line,2008,WCGOP,0.012,0.33%,SD,2025 data,"Yes, in landings"
Hook & Line,2010,WCGOP,0.008,2.32%,SD,2025 data,"Yes, in landings"
Hook & Line,2011,WCGOP,0.011,2.32%,SD,2025 data,"Yes, in landings"
Hook & Line,2012,WCGOP,0.001,2.32%,SD,2025 data,"Yes, in landings"
Hook & Line,2013,WCGOP,0.001,2.32%,SD,2025 data,"Yes, in landings"
Hook & Line,2014,WCGOP,0.009,2.32%,SD,2025 data,"Yes, in landings"
Hook & Line,2015,WCGOP,0.055,3.06%,SD,2025 data,"Yes, in landings"
Hook & Line,2016,WCGOP,0.188,2.96%,SD,2025 data,"Yes, in landings"
Hook & Line,2017,WCGOP,0.037,1.76%,SD,2025 data,"Yes, in landings"
Hook & Line,2018,WCGOP,0.138,8.32%,SD,2025 data,"Yes, in landings"
Hook & Line,2019,WCGOP,0.012,2.32%,SD,2025 data,"Yes, in landings"
Hook & Line,2021,WCGOP,0,2.32%,SD,2025 data,"Yes, in landings"
Hook & Line,2022,WCGOP,0.027,1.47%,SD,2025 data,"Yes, in landings"
Hook & Line,2023,WCGOP,0.002,0.14%,SD,2025 data,"Yes, in landings"
